"product title"                      ,"product description"                                                                                                                                                                                                                                                        ,"URL"                                 ,"image url"                         ,"EAN"       ,"SKU"   ,"category"  ,"item 1 - Merchant name","item 1 - price","item 1 - shipping time"                ,"item 1 - shipping cost","item 1 - return in day","item 1 - free return","item 2 - Merchant name","item 2 - price","item 2 - shipping time"                ,"item 2 - shipping cost","item 2 - return in day","item 2 - free return","item 3 - Merchant name","item 3 - price","item 3 - shipping time"                ,"item 3 - shipping cost","item 3 - return in day","item 3 - free return"
"neque nec quot"                     ,"hac menandri eu audire massa pri urna malorum nec usu moderatius viris oporteat impetus quisque ridiculus euismod"                                                                                                                                                          ,"http://www.provider.de/product/b5LcS","http://www.provider.de/image/aXS3n","XPAKO7OIZE","UeCsxp","Category27","Merchant28"            ,"75.47"         ,"Gewöhnlich versandfertig in 24 Stunden","4.49"                  ,"12"                    ,"true"                ,"Merchant8"             ,"45.31"         ,"Versandfertig in 1 - 3 Wochen"         ,"0.16"                  ,"13"                    ,"false"               ,"Merchant4"             ,"110.32"        ,"Versandfertig in 1 - 2 Werktagen"      ,"4.64"                  ,"18"                    ,"true"
"dolore partiendo"                   ,"mandamus mentitum eius ridiculus eam vidisse antiopam potenti putent mandamus theophrastus litora delenit nulla idque accommodare veri sapientem malesuada his a mnesarchum ferri affert delectus litora evertitur efficitur sententiae"                                    ,"http://www.provider.de/product/JJklx","http://www.provider.de/image/SPRvB","BIMOURINVU","RASPyI","Category10","Merchant2"             ,"43.33"         ,"Versandfertig in 2 - 3 Wochen"         ,"3.32"                  ,"19"                    ,"true"                ,"Merchant2"             ,"16.88"         ,"Versandfertig in 3 - 4 Werktagen"      ,"4.77"                  ,"23"                    ,"true"                ,"Merchant5"             ,"126.11"        ,"Versandfertig in 4 - 5 Werktagen"      ,"2.09"                  ,"26"                    ,"true"
"tempor tincidunt efficiantur"       ,"alterum aliquid definitiones singulis menandri graeco mutat putent tortor in omnesque persequeris fermentum cras omittantur perpetua mucius"                                                                                                                                ,"http://www.provider.de/product/Gj8xX","http://www.provider.de/image/yNMXj","JVRNRUPXDC","DZUfUG","Category7" ,"Merchant27"            ,"146.76"        ,"Versandfertig in 2 - 3 Werktagen"      ,"4.65"                  ,"13"                    ,"false"               ,"Merchant28"            ,"61.03"         ,"Versandfertig in 2 - 3 Werktagen"      ,"0.49"                  ,"16"                    ,"true"                ,"Merchant17"            ,"34.66"         ,"Versandfertig in 2 - 3 Wochen"         ,"0.04"                  ,"26"                    ,"true"
"donec erat mentitum"                ,"quaestio causae ultricies civibus velit ne vitae elitr detraxit suavitate tempor eget pretium melius dapibus reprehendunt semper fastidii qui"                                                                                                                              ,"http://www.provider.de/product/0k5lD","http://www.provider.de/image/YXrZV","ZKNL4O6GST","fuOMoF","Category16","Merchant21"            ,"62.74"         ,"Versandfertig in 2 - 3 Wochen"         ,"1.52"                  ,"22"                    ,"false"               ,"Merchant16"            ,"11.68"         ,"Versandfertig in 1 - 3 Wochen"         ,"3.33"                  ,"0"                     ,"true"                ,"Merchant20"            ,"131.72"        ,"Versandfertig in 2 - 3 Werktagen"      ,"2.65"                  ,"28"                    ,"true"
"singulis ex porttitor"              ,"ocurreret propriae interdum vivamus persius quo reprehendunt lectus luctus torquent"                                                                                                                                                                                        ,"http://www.provider.de/product/Tdu2h","http://www.provider.de/image/eURzK","XMP4G87FRA","0MG15i","Category5" ,"Merchant0"             ,"88.59"         ,"Versandfertig in 3 - 5 Wochen"         ,"2.81"                  ,"17"                    ,"true"                ,"Merchant18"            ,"123.03"        ,"Versandfertig in 1 - 2 Werktagen"      ,"0.60"                  ,"5"                     ,"false"               ,"Merchant8"             ,"106.70"        ,"Versandfertig in 3 - 4 Werktagen"      ,"0.21"                  ,"10"                    ,"false"
"convallis perpetua senectus"        ,"nisi tellus vis eleifend mediocritatem potenti doctus finibus malorum similique dolorum vestibulum antiopam corrumpit instructior nisi velit urna laoreet platonem populo ornare honestatis propriae"                                                                       ,"http://www.provider.de/product/i1Iul","http://www.provider.de/image/m2Y5s","OAKMG3KVFQ","fBIZJE","Category11","Merchant25"            ,"101.64"        ,"Gewöhnlich versandfertig in 24 Stunden","1.03"                  ,"14"                    ,"false"               ,"Merchant17"            ,"65.62"         ,"Gewöhnlich versandfertig in 24 Stunden","2.93"                  ,"12"                    ,"true"                ,"Merchant20"            ,"97.41"         ,"Versandfertig in 1 - 2 Werktagen"      ,"3.33"                  ,"11"                    ,"true"
"omittantur eum tristique"           ,"viderer dico sit est quot interdum suspendisse dicam ignota sem maiorum constituto nisl altera habitasse pertinax tation nisl pertinacia volutpat invidunt ultrices deserunt reformidans minim et homero consequat"                                                         ,"http://www.provider.de/product/POxeA","http://www.provider.de/image/nni7J","YKNBZMP2D3","zh9f3u","Category14","Merchant5"             ,"79.90"         ,"Versandfertig in 2 - 3 Werktagen"      ,"2.59"                  ,"10"                    ,"false"               ,"Merchant5"             ,"138.07"        ,"Gewöhnlich versandfertig in 24 Stunden","3.94"                  ,"7"                     ,"true"                ,"Merchant29"            ,"107.31"        ,"Versandfertig in 1 - 2 Werktagen"      ,"3.63"                  ,"0"                     ,"false"
"tritani malesuada"                  ,"vel persecuti option utroque dignissim gravida aliquam quaerendum vitae doming petentium ocurreret pericula interdum ubique ipsum tempor consectetuer menandri eruditi liber suas animal mediocritatem"                                                                     ,"http://www.provider.de/product/fT38i","http://www.provider.de/image/IAJYX","YRZCAZD5TP","W5rfp9","Category12","Merchant7"             ,"70.61"         ,"Versandfertig in 4 - 5 Werktagen"      ,"0.19"                  ,"23"                    ,"true"                ,"Merchant14"            ,"48.19"         ,"Versandfertig in 6 - 10 Werktagen"     ,"0.86"                  ,"4"                     ,"false"               ,"Merchant21"            ,"29.04"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.28"                  ,"0"                     ,"false"
"in justo efficitur"                 ,"offendit eu dicit pro torquent dolorem sale omittantur feugait fabulas habemus aliquip eius fugit constituam electram mel feugiat verterem referrentur postea egestas"                                                                                                      ,"http://www.provider.de/product/HdqJA","http://www.provider.de/image/UtlRj","CFMDFIOEF2","WL42VP","Category26","Merchant28"            ,"113.27"        ,"Versandfertig in 3 - 5 Wochen"         ,"3.42"                  ,"7"                     ,"false"               ,"Merchant7"             ,"140.47"        ,"Versandfertig in 3 - 4 Werktagen"      ,"3.87"                  ,"1"                     ,"true"                ,"Merchant27"            ,"102.81"        ,"Versandfertig in 1 - 2 Werktagen"      ,"1.42"                  ,"21"                    ,"true"
"dicant recteque"                    ,"persius accusata senectus eleifend prompta fugit disputationi nostra libero et at"                                                                                                                                                                                          ,"http://www.provider.de/product/WyRTk","http://www.provider.de/image/579wE","DNQTWNIIEG","WCX4s2","Category8" ,"Merchant29"            ,"99.79"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.82"                  ,"16"                    ,"true"                ,"Merchant15"            ,"149.50"        ,"Versandfertig in 1 - 3 Wochen"         ,"0.34"                  ,"24"                    ,"false"               ,"Merchant17"            ,"97.82"         ,"Versandfertig in 4 - 5 Werktagen"      ,"2.27"                  ,"11"                    ,"true"
"mollis feugait ipsum"               ,"electram eam nonumy percipit nulla indoctum sit postulant imperdiet scelerisque sea augue invidunt reformidans alia adversarium mei gloriatur ne iaculis salutatus iisque sit"                                                                                              ,"http://www.provider.de/product/908ih","http://www.provider.de/image/j0b00","ZJPCZCQW9R","4l4xRG","Category12","Merchant3"             ,"27.35"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.84"                  ,"10"                    ,"true"                ,"Merchant21"            ,"43.95"         ,"Versandfertig in 1 - 2 Werktagen"      ,"0.84"                  ,"23"                    ,"true"                ,"Merchant28"            ,"114.08"        ,"Versandfertig in 4 - 5 Werktagen"      ,"2.55"                  ,"26"                    ,"true"
"ex vis"                             ,"accumsan senectus instructior error consul deserunt vitae error epicurei contentiones tellus tractatos"                                                                                                                                                                     ,"http://www.provider.de/product/CPgcY","http://www.provider.de/image/WMlEN","OYCPLNLYJG","jMP7cY","Category15","Merchant14"            ,"87.22"         ,"Versandfertig in 3 - 4 Werktagen"      ,"2.53"                  ,"17"                    ,"false"               ,"Merchant1"             ,"56.53"         ,"Versandfertig in 1 - 2 Werktagen"      ,"0.94"                  ,"19"                    ,"true"                ,"Merchant10"            ,"111.90"        ,"Gewöhnlich versandfertig in 24 Stunden","1.38"                  ,"27"                    ,"true"
"natum lorem tincidunt"              ,"hendrerit vituperata reformidans luctus fusce maluisset proin tantas signiferumque definitionem quem brute debet facilisi"                                                                                                                                                  ,"http://www.provider.de/product/2zMFL","http://www.provider.de/image/cYhQZ","SCSC1YWORP","lcxcdP","Category3" ,"Merchant7"             ,"120.03"        ,"Versandfertig in 3 - 4 Werktagen"      ,"3.65"                  ,"14"                    ,"true"                ,"Merchant17"            ,"66.50"         ,"Versandfertig in 2 - 3 Wochen"         ,"3.34"                  ,"28"                    ,"false"               ,"Merchant25"            ,"65.89"         ,"Versandfertig in 1 - 3 Wochen"         ,"1.11"                  ,"8"                     ,"false"
"ante noster error"                  ,"reprimique pri constituto taciti cetero ceteros alienum noster nostra maximus lacus eros libero aliquet principes corrumpit propriae maiestatis principes dico"                                                                                                             ,"http://www.provider.de/product/7Pmr9","http://www.provider.de/image/YGxQB","36GU5WD8J6","UqcHzO","Category4" ,"Merchant25"            ,"115.32"        ,"Versandfertig in 2 - 3 Wochen"         ,"3.71"                  ,"7"                     ,"false"               ,"Merchant16"            ,"21.33"         ,"Versandfertig in 6 - 10 Werktagen"     ,"3.61"                  ,"24"                    ,"false"               ,"Merchant29"            ,"30.97"         ,"Versandfertig in 2 - 3 Wochen"         ,"1.61"                  ,"1"                     ,"true"
